size_bytes,user_rating,user_rating_mark
384385024,4.0,medium
173031424,3.0,low
43569152,5.0,high
71370752,4.5,high
131016704,4.0,medium
9348096,4.5,high
7876608,4.5,high
109557760,3.5,medium
77213696,3.0,low
124729344,4.5,high
839073792,3.0,low
5354496,0.0,low
187321344,5.0,high
34751488,0.0,low
152269824,4.5,high
100779008,4.0,medium
77725696,4.5,high
183046144,4.5,high
335961088,3.0,low
63243264,4.5,high
46019584,0.0,low
111176704,4.5,high
467697664,4.5,high
125079552,4.5,high
43749376,4.5,high
123341824,4.5,high
64877568,3.0,low
224098304,4.0,medium
39446528,4.5,high
109913088,4.5,high
127256576,0.0,low
70041600,3.0,low
50002944,0.0,low
90850304,1.0,low
129167360,4.0,medium
18822144,5.0,high
53552128,0.0,low
714801152,5.0,high
89927680,4.0,medium
106221568,4.0,medium
118249472,3.5,medium
104727552,0.0,low
124673024,2.5,low
98864128,4.5,high
123944960,4.0,medium
55851008,5.0,high
63180800,4.0,medium
34252800,4.5,high
96060416,0.0,low
187934720,4.0,medium
99423232,3.0,low
119500800,5.0,high
590484480,4.5,high
109408256,0.0,low
81762304,3.0,low
207907840,4.0,medium
121892864,4.5,high
118980608,4.5,high
48802816,4.5,high
105975808,3.5,medium
29392896,4.0,medium
72011776,3.0,low
29554688,3.5,medium
1406185472,0.0,low
79683584,4.5,high
129157120,4.5,high
3700736,0.0,low
51246080,0.0,low
470513664,0.0,low
270895104,5.0,high
28964864,0.0,low
135485440,4.0,medium
1595742208,4.0,medium
13518848,5.0,high
115761152,4.0,medium
61712384,4.5,high
199843840,4.5,high
97558528,4.0,medium
61099008,3.5,medium
41779200,4.5,high
124923904,3.5,medium
20144128,5.0,high
453559296,4.5,high
22989824,3.0,low
83722240,3.5,medium
97549312,4.5,high
39844864,4.0,medium
40674304,4.5,high
82529280,4.5,high
15758336,0.0,low
1909682176,4.5,high
101789696,5.0,high
132928512,4.5,high
90322944,4.0,medium
164248576,4.5,high
227790848,3.5,medium
285982720,4.5,high
7669760,5.0,high
102413312,2.5,low
95727616,5.0,high
142101504,5.0,high
106458112,4.5,high
85928960,3.5,medium
21905408,0.0,low
296790016,4.5,high
27227934,4.0,medium
105431040,3.5,medium
2219819008,5.0,high
8044544,3.0,low
56381440,4.5,high
31588352,1.0,low
28331008,2.5,low
112401408,4.5,high
111419392,3.5,medium
94867456,4.5,high
86319104,3.0,low
102477824,4.5,high
331105280,3.5,medium
154361856,4.0,medium
74738688,4.5,high
471601152,4.5,high
771670016,4.5,high
146654208,3.0,low
4765696,3.0,low
31567872,4.5,high
55205888,4.0,medium
34652160,4.0,medium
72667136,5.0,high
74873856,4.0,medium
370935808,5.0,high
236914688,4.5,high
376171520,4.0,medium
40141824,4.5,high
63738880,4.0,medium
148738048,3.5,medium
952222720,4.5,high
1126400,4.0,medium
114208768,0.0,low
150765568,4.5,high
407632896,4.5,high
60965888,4.0,medium
79798272,5.0,high
255747072,4.5,high
284124160,4.5,high
62734336,4.5,high
1012736,0.0,low
25996288,3.0,low
60285952,0.0,low
188807168,4.5,high
174499840,4.5,high
320951296,4.5,high
23536640,0.0,low
163893248,5.0,high
415886336,4.0,medium
69816320,2.5,low
312938496,0.0,low
88514560,4.0,medium
91877376,4.5,high
143858688,4.5,high
491183104,4.0,medium
229864448,5.0,high
76464128,4.5,high
17347584,0.0,low
492288000,4.5,high
245437440,4.0,medium
179275776,4.0,medium
44669952,0.0,low
210242560,4.0,medium
322576384,5.0,high
95249408,4.5,high
60144640,4.0,medium
53579776,5.0,high
69795840,4.5,high
6323200,4.5,high
155857920,4.0,medium
199585792,3.5,medium
56591360,4.0,medium
71931904,4.5,high
57243648,4.0,medium
117479424,5.0,high
13881344,0.0,low
83113984,4.0,medium
20168704,3.0,low
16902144,2.5,low
231588864,0.0,low
67281920,4.0,medium
103986176,4.5,high
52632576,4.0,medium
62913536,4.5,high
93207552,2.5,low
3530752,5.0,high
373096448,4.0,medium
6603776,4.0,medium
43553792,0.0,low
